"Schmiegelt, Philip",2014,3
"Breß, Sebastian",2014,17
"Arnold, Patrick",2014,55
"Bulling, Andreas",2014,983
"Bast, Hannah",2014,6
"Renner, Rebekka S.",2013,301
"Zirn, Cäcilia",2014,21
"Strass, Hannes",2013,72
"Thalheim, Bernhard",2013,13
"Tribastone, Mirco",2013,32
"Bringmann, Karl",2013,28
"Brandt, Jens",2013,8
"Haake, Claus-Jochen",2013,4
"Galeotti, Juan P.",2013,42
"Schlereth, Christian",2013,19
"Maalej, Walid",2013,115
"Radetzki, Martin",2013,153
"Alm, Thomas",2013,8
"Bast, Hannah",2013,5
"Brosch, Franz",2012,76
"Aziz, Haris",2013,74
"Hepperger, Peter",2013,3
"Apel, Sven",2013,74
"Thimm, Matthias",2013,54
"Hoelzl, Erik",2013,1
"Leue, Stefan",2013,1
"Lakemeyer, G.",2013,0
"Hoffart, Johannes",2013,707
"Bringmann, Karl",2013,55
"Nastase, Vivi",2013,64
"Garnefeld, Ina",2012,57
"Baumann, Ringo",2012,48
"Budzisz, Łukasz",2012,20
"Andrikopoulos, Vasilios",2012,94
"Tribastone, Mirco",2012,26
"Haufe, Sebastian",2012,14
"Sengul, Cigdem",2012,16
"Fisch, Dominik",2012,14
"Zickert, Frank",2012,1
"Papapantoleon, Antonis",2012,5
"Gebser, Martin",2012,273
"Aljazzar, Husain",2011,111
"Frischmann, Tanja",2012,27
"Broschart, Andreas",2012,9
"Mossakowski, Till",2012,60
"Fraser, Gordon",2012,206
"Adam, Marc",2012,48
"Altingovde, Ismail Sengor",2012,19
"Janzing, Dominik",2012,153
"Dallmeier, Valentin",2012,56
"Liu, Hongkai",2011,26
"Sorg, P.",2012,65
"Fahland, Dirk",2011,123
"Holze, Marc",2011,8
"Bast, Hannah",2011,2
"Benlian, Alexander",2011,96
"Paulheim, Heiko",2011,0
"Kiesel, Rüdiger",2011,3
"Ponzetto, Simone Paolo",2011,78
"Reiswich, Dimitri",2011,1
"Weidlich, Matthias",2011,195
"Koschmider, Agnes",2011,83
"Parreiras, Fernando Silva",2010,56
"Freiling, Felix C.",2011,31
"Krogmann, Klaus",2010,51
"Transier, Frederik",2010,22
"Lakemeyer, Gerhard",2011,27
"Olbrich, Rainer",2011,196
"Prechelt, Lutz",2011,18
"Rief, Daniel",2010,12
"Cimiano, Philipp",2010,7
"Aljazzar, Husain",2010,43
"Salfner, Felix",2010,426
"Bateman, John A.",2010,150
"Weinhardt, Christof",2010,3
"Bodden, Eric",2010,32
"Schoop, Mareike",2010,19
"Barrot, Christian",2010,19
